15	10	E	-7555723.021070745	200
emissionprobs	11	3	H3K27me3	1	0.010910389885051537
emissionprobs	11	4	H3K36me3	0	0.9986350289498758
emissionprobs	11	4	H3K36me3	1	0.0013649710501242014
emissionprobs	11	5	H3K4me1	0	0.9058808710325708
emissionprobs	11	5	H3K4me1	1	0.09411912896742936
emissionprobs	11	6	H3K4me2	0	0.8912279974051421
emissionprobs	11	6	H3K4me2	1	0.10877200259485795
emissionprobs	11	7	H3K4me3	0	0.9985668529590522
emissionprobs	11	7	H3K4me3	1	0.0014331470409477836
emissionprobs	11	8	H3K79me2	0	0.9983664018342413
emissionprobs	11	8	H3K79me2	1	0.001633598165758657
emissionprobs	11	9	H3K9me3	0	0.996144126095568
emissionprobs	11	9	H3K9me3	1	0.0038558739044319457
emissionprobs	12	0	3K9ac	0	0.9068902218722104
emissionprobs	12	0	3K9ac	1	0.0931097781277896
emissionprobs	12	1	H2AFZ	0	0.43101289199981496
emissionprobs	12	1	H2AFZ	1	0.568987108000185
emissionprobs	12	2	H3K27ac	0	0.999305508340939
emissionprobs	12	2	H3K27ac	1	6.944916590610457E-4
emissionprobs	12	3	H3K27me3	0	0.1393605447005779
emissionprobs	12	3	H3K27me3	1	0.8606394552994221
emissionprobs	12	4	H3K36me3	0	0.9773574032762488
emissionprobs	12	4	H3K36me3	1	0.022642596723751213
emissionprobs	12	5	H3K4me1	0	0.37659864514530983
emissionprobs	12	5	H3K4me1	1	0.6234013548546903
emissionprobs	12	6	H3K4me2	0	0.29825746954128296
emissionprobs	12	6	H3K4me2	1	0.701742530458717
emissionprobs	12	7	H3K4me3	0	0.892986709773433
emissionprobs	12	7	H3K4me3	1	0.10701329022656697
emissionprobs	12	8	H3K79me2	0	0.9628764346575139
emissionprobs	12	8	H3K79me2	1	0.03712356534248604
emissionprobs	12	9	H3K9me3	0	0.9970544440895674
emissionprobs	12	9	H3K9me3	1	0.002945555910432551
emissionprobs	13	0	3K9ac	0	0.9961041273391893
emissionprobs	13	0	3K9ac	1	0.0038958726608107437
emissionprobs	13	1	H2AFZ	0	0.9054500892421455
emissionprobs	13	1	H2AFZ	1	0.09454991075785435
emissionprobs	13	2	H3K27ac	0	0.9975014765540516
emissionprobs	13	2	H3K27ac	1	0.002498523445948435
emissionprobs	13	3	H3K27me3	0	0.8707887504925947
emissionprobs	13	3	H3K27me3	1	0.1292112495074053
emissionprobs	13	4	H3K36me3	0	0.9774257223234646
emissionprobs	13	4	H3K36me3	1	0.022574277676535432
emissionprobs	13	5	H3K4me1	0	0.6413767299744432
emissionprobs	13	5	H3K4me1	1	0.3586232700255568
emissionprobs	13	6	H3K4me2	0	0.8091456737751574
emissionprobs	13	6	H3K4me2	1	0.19085432622484255
emissionprobs	13	7	H3K4me3	0	0.9976440681169337
emissionprobs	13	7	H3K4me3	1	0.002355931883066289
emissionprobs	13	8	H3K79me2	0	0.9757076605545216
emissionprobs	13	8	H3K79me2	1	0.024292339445478397
emissionprobs	13	9	H3K9me3	0	0.996990711129836
emissionprobs	13	9	H3K9me3	1	0.0030092888701641293
emissionprobs	14	0	3K9ac	0	0.9952059044592821
emissionprobs	14	0	3K9ac	1	0.004794095540717854
emissionprobs	14	1	H2AFZ	0	0.9885430941478013
emissionprobs	14	1	H2AFZ	1	0.011456905852198699
emissionprobs	14	2	H3K27ac	0	0.9923183259151812
emissionprobs	14	2	H3K27ac	1	0.007681674084818869
emissionprobs	14	3	H3K27me3	0	0.9993556619182209
emissionprobs	14	3	H3K27me3	1	6.443380817790538E-4
emissionprobs	14	4	H3K36me3	0	0.9830541489728685
emissionprobs	14	4	H3K36me3	1	0.016945851027131583
emissionprobs	14	5	H3K4me1	0	0.9995021705363968
